More,Categories,Time,Food,Home,Daily,Weather,Kitchen,Cooking,Supermarket,Health,Places,Transportation,Person,School,Nature,Interest,Work,Restaurant,Mastery,Adverbs,Verbs,Adjectives,Similars
,"たこ焼き# octopus dumplings",,,,,,,,,,,,,,,,,,,,,,
,"カレーライス# curry rice",,,,,,,,,,,,,,,,,,,,,,
,"おにぎり# rice balls",,,,,,,,,,,,,,,,,,,,,,
,"パン# bread",,,,,,,,,,,,,,,,,,,,,,
,"サラダ# salad",,,,,,,,,,,,,,,,,,,,,,
,"スープ# soup",,,,,,,,,,,,,,,,,,,,,,
,"カレー# curry",,,,,,,,,,,,,,,,,,,,,,
,"牛丼# rice bowl topped with beef",,,,,,,,,,,,,,,,,,,,,,
,"寿司# sushi",,,,,,,,,,,,,,,,,,,,,,
,"おにぎり# rice ball",,,,,,,,,,,,,,,,,,,,,,
,"さしみ# sashimi, raw fish",,,,,,,,,,,,,,,,,,,,,,
,"天ぷら# tempura",,,,,,,,,,,,,,,,,,,,,,
,"すきやき# sukiyaki",,,,,,,,,,,,,,,,,,,,,,
,"何何名様ですか# How many people?",,,,,,,,,,,,,,,,,,,,,,
,"2人です# what",,,,,,,,,,,,,,,,,,,,,,
,"申し訳ございません。只今、満席です# We're sorry. We are full right now",,,,,,,,,,,,,,,,,,,,,,
,"待ち時間はどのくらいですか# How long is the wait time?",,,,,,,,,,,,,,,,,,,,,,
,"どのくらい待ちますか# How long will I have to wait?",,,,,,,,,,,,,,,,,,,,,,
,"ご予約はされていますか# Do you have a reservation?",,,,,,,,,,,,,,,,,,,,,,
,"7時に予約している~です# I have a reservation at 7:00",,,,,,,,,,,,,,,,,,,,,,
,"いいえ、予約はしていないです# No, I don't have a reservation",,,,,,,,,,,,,,,,,,,,,,
,"ご案内いたします# Follow me, please",,,,,,,,,,,,,,,,,,,,,,
,"お好きな席どうぞ# Please have a seat anywhere you like",,,,,,,,,,,,,,,,,,,,,,
,"お好きな席お座りください# Please have a seat anywhere you like",,,,,,,,,,,,,,,,,,,,,,
,"メニューもらえますか# Can I have a menu?",,,,,,,,,,,,,,,,,,,,,,
,"ご注文はお決まりですか# Are you ready to order?",,,,,,,,,,,,,,,,,,,,,,
,"いいえ、まだ決まってないです# No, I haven't decided yet",,,,,,,,,,,,,,,,,,,,,,
,"また後で言います# I'll tell you later",,,,,,,,,,,,,,,,,,,,,,
,"では、また後でお伺いいたします# Then I'll ask you again later",,,,,,,,,,,,,,,,,,,,,,
,"天ぷら定食ください# Tempura set meal, please ",,,,,,,,,,,,,,,,,,,,,,
,"チーズハンバーグで# Cheese hamburger, please",,,,,,,,,,,,,,,,,,,,,,
,"チーズハンバーグとコーヒー# Cheese hamburger and coffee",,,,,,,,,,,,,,,,,,,,,,
,"これをください# I'll have this one, please",,,,,,,,,,,,,,,,,,,,,,
,"何がおすすめですか# What do you recommend?",,,,,,,,,,,,,,,,,,,,,,
,"お飲み物は何なさいますか# What would you like to drink?",,,,,,,,,,,,,,,,,,,,,,
,"コーヒーください# Coffee, please",,,,,,,,,,,,,,,,,,,,,,
,"いいえ、大丈夫# No, I'm fine",,,,,,,,,,,,,,,,,,,,,,
,"この料理に卵は入っていますか# Do you have any eggs in this dish?",,,,,,,,,,,,,,,,,,,,,,
,"アレルギーなので、卵抜きで作ってもらえますか# I'm allergic to eggs, can you make it without them?",,,,,,,,,,,,,,,,,,,,,,
,"お飲み物はいつお待ちしましょうか# When would you like your drinks?",,,,,,,,,,,,,,,,,,,,,,
,"先にお願いします# Before the meal, please",,,,,,,,,,,,,,,,,,,,,,
,"一緒にお願いします# With the meal, please",,,,,,,,,,,,,,,,,,,,,,
,"食後にお願いします# After the meal, please",,,,,,,,,,,,,,,,,,,,,,
,"以上です# That's all",,,,,,,,,,,,,,,,,,,,,,
,"とりあえずこれで大丈夫です# That would be all for now",,,,,,,,,,,,,,,,,,,,,,
,"すみません。注文したものがまだ来ないんですが# Excuse me. My order hasn't come yet",,,,,,,,,,,,,,,,,,,,,,
,"すみません。これ注文したものと違います# Excuse me. This is not what I ordered",,,,,,,,,,,,,,,,,,,,,,
,"これ注文していないです# I didn't order this",,,,,,,,,,,,,,,,,,,,,,
,"取り皿もらえますか# Can I have some small plates?",,,,,,,,,,,,,,,,,,,,,,
,"お水もらえますか# Can I have a glass of water?",,,,,,,,,,,,,,,,,,,,,,
,"おしぼりもらえますか# Can I have a wet towel?",,,,,,,,,,,,,,,,,,,,,,
,"お手洗いはどこですか# Where is the restroom?",,,,,,,,,,,,,,,,,,,,,,
,"タバコはどこで吸えますか# Where can I smoke?",,,,,,,,,,,,,,,,,,,,,,
,"こちらのお皿、お下げしてもよろしいですか# May I take your plates?",,,,,,,,,,,,,,,,,,,,,,
,"はい、お願いします# Yes, please",,,,,,,,,,,,,,,,,,,,,,
,"まだ食べています# I'm still eating",,,,,,,,,,,,,,,,,,,,,,
,"お会計お願いします# Can I have the bill please",,,,,,,,,,,,,,,,,,,,,,
,"カード使えますか# Do you accept credit cards?",,,,,,,,,,,,,,,,,,,,,,
,"お会計、別々にできますか# Can we pay separately?",,,,,,,,,,,,,,,,,,,,,,
,"領収書もらえますか# Can I get a receipt?",,,,,,,,,,,,,,,,,,,,,,
,"知り合う# to get to know each other",,,,,,,,,,,,,,,,,,,,,,
,"話し合う# to discuss together",,,,,,,,,,,,,,,,,,,,,,
,"お互い助け合う# to help one another",,,,,,,,,,,,,,,,,,,,,,
,"抱き合う# to hug each other",,,,,,,,,,,,,,,,,,,,,,
,"ベッドから起き上がる# to get out of bed",,,,,,,,,,,,,,,,,,,,,,
,"テーマに取り上げる# to take as a theme",,,,,,,,,,,,,,,,,,,,,,
,"箱を持ち上げる# to pick up a box",,,,,,,,,,,,,,,,,,,,,,
,"論文を書き上げる# to finish writing a paper",,,,,,,,,,,,,,,,,,,,,,
,"作品を生み出す# to create a work",,,,,,,,,,,,,,,,,,,,,,
,"箱から取り出す# to take out of the box",,,,,,,,,,,,,,,,,,,,,,
,"呼び出す# to summon",,,,,,,,,,,,,,,,,,,,,,
,"部屋から追い出す# to chase out of the room",,,,,,,,,,,,,,,,,,,,,,
,"急に泣き出す# to cry suddenly",,,,,,,,,,,,,,,,,,,,,,
,"走り出す# to start running",,,,,,,,,,,,,,,,,,,,,,
,"降り出す# to start raining",,,,,,,,,,,,,,,,,,,,,,
,"書き直す# to rewrite",,,,,,,,,,,,,,,,,,,,,,
,"かけ直す# to call again",,,,,,,,,,,,,,,,,,,,,,
,"答えと見直す# to review again the answers",,,,,,,,,,,,,,,,,,,,,,
,"考え直す# to rethink",,,,,,,,,,,,,,,,,,,,,,
,"作り直す# to remake",,,,,,,,,,,,,,,,,,,,,,
,"着替える# to change clothes",,,,,,,,,,,,,,,,,,,,,,
,"電池を取り替える# to replace batteries",,,,,,,,,,,,,,,,,,,,,,
,"入れ替える# to replace, to substitute",,,,,,,,,,,,,,,,,,,,,,
,"申し込む# to apply",,,,,,,,,,,,,,,,,,,,,,
,"用紙に書き込む# to fill in the form",,,,,,,,,,,,,,,,,,,,,,
,"荷物を押し込む# to stuff one’s belongings",,,,,,,,,,,,,,,,,,,,,,
,"全部食べきる# to eat all",,,,,,,,,,,,,,,,,,,,,,
,"使いきる# to use up",,,,,,,,,,,,,,,,,,,,,,
,"数えきれない# to be countless",,,,,,,,,,,,,,,,,,,,,,
,"食べ始める# to start eating",,,,,,,,,,,,,,,,,,,,,,
,"習い始める# to start learning",,,,,,,,,,,,,,,,,,,,,,
,"咲き始める# to start blossoming",,,,,,,,,,,,,,,,,,,,,,
,"食べすぎる# to eat too much",,,,,,,,,,,,,,,,,,,,,,
,"忙しすぎる# to be too busy",,,,,,,,,,,,,,,,,,,,,,
,"遅すぎる# to be too late",,,,,,,,,,,,,,,,,,,,,,
,"若すぎる# to be too young",,,,,,,,,,,,,,,,,,,,,,
,"今にも雨降りそうだ# Looks as if it’s going to rain at any moment",,,,,,,,,,,,,,,,,,,,,,
,"今に分かるでしょう# You understand now, right?",,,,,,,,,,,,,,,,,,,,,,
,"いよいよ結婚式だ# It's finally a wedding",,,,,,,,,,,,,,,,,,,,,,
,"じきに終わるだろう# It'll probably be over soon ",,,,,,,,,,,,,,,,,,,,,,
,"至急ご連絡ください# Please contact us as soon as possible",,,,,,,,,,,,,,,,,,,,,,
,"後で電話する# I'll call you later",,,,,,,,,,,,,,,,,,,,,,
,"いつか結婚する# We'll get married someday",,,,,,,,,,,,,,,,,,,,,,
,"まず基本を覚える# Learn the basics first",,,,,,,,,,,,,,,,,,,,,,
,"そろそろ帰る# I'm leaving soon",,,,,,,,,,,,,,,,,,,,,,
,"いきなり頼む# To request unexpectedly",,,,,,,,,,,,,,,,,,,,,,
,"突然現れる# Appears suddenly",,,,,,,,,,,,,,,,,,,,,,
,"ずっと待つ# Keep waiting",,,,,,,,,,,,,,,,,,,,,,
,"しばらく休む# Take a break for a while",,,,,,,,,,,,,,,,,,,,,,
,"あっという間に# In a flash, In the blink of an eye",,,,,,,,,,,,,,,,,,,,,,
,"いつの間にか# Before noticing it, Before one becomes aware of",,,,,,,,,,,,,,,,,,,,,,
,"本当に# really",,,,,,,,,,,,,,,,,,,,,,
,"自由に選ぶ# Free to choose",,,,,,,,,,,,,,,,,,,,,,
,"正確に書く# Write accurately",,,,,,,,,,,,,,,,,,,,,,
,"具体的に言う# Speak specifically",,,,,,,,,,,,,,,,,,,,,,
,"どのように# In what way?",,,,,,,,,,,,,,,,,,,,,,
,"どんな気持ち# What kind of feeling?",,,,,,,,,,,,,,,,,,,,,,
,"どんな考え# What kind of thought?",,,,,,,,,,,,,,,,,,,,,,
,"やっと会えた# Met at last",,,,,,,,,,,,,,,,,,,,,,
,"とうとう壊れた# Finally broke",,,,,,,,,,,,,,,,,,,,,,
,"ついに完成した# book",,,,,,,,,,,,,,,,,,,,,,
,"なるべく早く# as soon as possible",,,,,,,,,,,,,,,,,,,,,,
,"やっぱり負けた# Lost as expected",,,,,,,,,,,,,,,,,,,,,,
,"意外に軽い# Surprisingly light",,,,,,,,,,,,,,,,,,,,,,
,"とにかく急ぐ# just hurry, anyhow hurry",,,,,,,,,,,,,,,,,,,,,,
,"ぜひ会いたい# really want to meet",,,,,,,,,,,,,,,,,,,,,,
,"もちろん# of course",,,,,,,,,,,,,,,,,,,,,,
,"わざと負ける# to lose on purpose",,,,,,,,,,,,,,,,,,,,,,
,"きっと会える# will definitely meet",,,,,,,,,,,,,,,,,,,,,,
,"実は優しい# is easy actually",,,,,,,,,,,,,,,,,,,,,,
,"確か独身# certainly single",,,,,,,,,,,,,,,,,,,,,,
,"あいにく夜は用事があるんです# Unfortunately, I have some business to attend to at night",,,,,,,,,,,,,,,,,,,,,,
,"せめて声だけでも聞きたい# I want to hear your voice at least",,,,,,,,,,,,,,,,,,,,,,
,"うっかり道を間違えてしまった# I carelessly took a wrong turn",,,,,,,,,,,,,,,,,,,,,,
,"高くてもせいぜい１万円くらいだろう# The most expensive would be 10,000 yen at most",,,,,,,,,,,,,,,,,,,,,,
,"くれぐれも気をつけてね# Be sure to be careful",,,,,,,,,,,,,,,,,,,,,,
,"ひとまず少し休むことにした# I decided to get some rest for the time being",,,,,,,,,,,,,,,,,,,,,,
,"電車来ないね。ひょっとして事故でもあったのかなあ# The train isn't coming. I wonder if there was an accident",,,,,,,,,,,,,,,,,,,,,,
,"かなり安い# pretty cheap",,,,,,,,,,,,,,,,,,,,,,
,"ずいぶん古い# very old",,,,,,,,,,,,,,,,,,,,,,
,"ものすごく痛い# incredibly painful",,,,,,,,,,,,,,,,,,,,,,
,"大部上達した# improved substantially",,,,,,,,,,,,,,,,,,,,,,
,"結構好き# to like it quite a bit",,,,,,,,,,,,,,,,,,,,,,
,"まあまあ美味しい# to taste so-so",,,,,,,,,,,,,,,,,,,,,,
,"たまに会う# to meet occasionally",,,,,,,,,,,,,,,,,,,,,,
,"たいてい断る# to turn down usually",,,,,,,,,,,,,,,,,,,,,,
,"少しずつ食べる# to eat little by little",,,,,,,,,,,,,,,,,,,,,,
,"一度にたくさん# lots at one time",,,,,,,,,,,,,,,,,,,,,,
,"いっぺんに運ぶ# carry all at once",,,,,,,,,,,,,,,,,,,,,,
,"普段静か# is normally quiet",,,,,,,,,,,,,,,,,,,,,,
,"普通行かない# don’t go usually",,,,,,,,,,,,,,,,,,,,,,
,"結局やめる# to quit in the end",,,,,,,,,,,,,,,,,,,,,,
,"乗り換える# to change trains, to transfer",,,,,,,,,,,,,,,,,,,,,,
,"乗り越す# to ride past one’s stop",,,,,,,,,,,,,,,,,,,,,,
,"乗り過ごす# to ride past one’s stop",,,,,,,,,,,,,,,,,,,,,,
,"乗り遅れる# to miss the train",,,,,,,,,,,,,,,,,,,,,,
,"席をゆずる# to give up one’s seat",,,,,,,,,,,,,,,,,,,,,,
,"間に合う# to be on time",,,,,,,,,,,,,,,,,,,,,,
,"~に止まる# to stop at",,,,,,,,,,,,,,,,,,,,,,
,"鉄道# railroad",,,,,,,,,,,,,,,,,,,,,,
,"線# line",,,,,,,,,,,,,,,,,,,,,,
,"新幹線# shinkansen",,,,,,,,,,,,,,,,,,,,,,
,"地下鉄# subway",,,,,,,,,,,,,,,,,,,,,,
,"特急# limited express",,,,,,,,,,,,,,,,,,,,,,
,"快速# rapid express",,,,,,,,,,,,,,,,,,,,,,
,"各駅停車# local train",,,,,,,,,,,,,,,,,,,,,,
,"時刻表# timetable",,,,,,,,,,,,,,,,,,,,,,
,"ダイヤ# timetable",,,,,,,,,,,,,,,,,,,,,,
,"乗客# passenger",,,,,,,,,,,,,,,,,,,,,,
,"車しょう# conductor",,,,,,,,,,,,,,,,,,,,,,
,"~行き# bound for",,,,,,,,,,,,,,,,,,,,,,
,"上り# upbound",,,,,,,,,,,,,,,,,,,,,,
,"下り# downbound",,,,,,,,,,,,,,,,,,,,,,
,"終点の# terminal, last stop",,,,,,,,,,,,,,,,,,,,,,
,"通過する# to pass through",,,,,,,,,,,,,,,,,,,,,,
,"停車する# to stop",,,,,,,,,,,,,,,,,,,,,,
,"発車する# to depart",,,,,,,,,,,,,,,,,,,,,,
,"到着する# to arrive",,,,,,,,,,,,,,,,,,,,,,
,"列車# train",,,,,,,,,,,,,,,,,,,,,,
,"車内# inside the train",,,,,,,,,,,,,,,,,,,,,,
,"車両# rolling stock, railroad cars, wheeled vehicles ",,,,,,,,,,,,,,,,,,,,,,
,"終電# last train",,,,,,,,,,,,,,,,,,,,,,
,"満員電車# crowded train",,,,,,,,,,,,,,,,,,,,,,
,"線路# railroad tracks",,,,,,,,,,,,,,,,,,,,,,
,"踏切# railroad crossing",,,,,,,,,,,,,,,,,,,,,,
,"乗車券# ticket (for bus, train, etc.), passenger ticket ",,,,,,,,,,,,,,,,,,,,,,
,"片道# one way",,,,,,,,,,,,,,,,,,,,,,
,"往復# roundtrip",,,,,,,,,,,,,,,,,,,,,,
,"指定席# reserved seat",,,,,,,,,,,,,,,,,,,,,,
,"自由席# non-reserved seat",,,,,,,,,,,,,,,,,,,,,,
,"窓側# window side",,,,,,,,,,,,,,,,,,,,,,
,"通路側# aisle side",,,,,,,,,,,,,,,,,,,,,,
,"満席# all seats are taken",,,,,,,,,,,,,,,,,,,,,,
,"空席# available seat",,,,,,,,,,,,,,,,,,,,,,
,"優先席# courtesy seat",,,,,,,,,,,,,,,,,,,,,,
,"切符売り場# ticket machine",,,,,,,,,,,,,,,,,,,,,,
,"通路# passageway",,,,,,,,,,,,,,,,,,,,,,
,"南口# south gate",,,,,,,,,,,,,,,,,,,,,,
,"エコノミークラス# economy class",,,,,,,,,,,,,,,,,,,,,,
,"ビジネスクラス# business class",,,,,,,,,,,,,,,,,,,,,,
,"ファーストクラス# first class",,,,,,,,,,,,,,,,,,,,,,
,"直行便# direct (nonstop) flight",,,,,,,,,,,,,,,,,,,,,,
,"経由# via",,,,,,,,,,,,,,,,,,,,,,
,"秋田経由でいいですか# Is it okay to go via Akita?",,,,,,,,,,,,,,,,,,,,,,
,"入国# entering a country",,,,,,,,,,,,,,,,,,,,,,
,"出国# departure from a country ",,,,,,,,,,,,,,,,,,,,,,
,"免税店# duty free store",,,,,,,,,,,,,,,,,,,,,,
,"税関# customs",,,,,,,,,,,,,,,,,,,,,,
,"出迎える# to meet (some at the airport)",,,,,,,,,,,,,,,,,,,,,,
,"荷物を預ける# to check in luggage",,,,,,,,,,,,,,,,,,,,,,
,"ヘリコプター# helicopter",,,,,,,,,,,,,,,,,,,,,,
,"路線# route",,,,,,,,,,,,,,,,,,,,,,
,"停留所# stop",,,,,,,,,,,,,,,,,,,,,,
,"バス停# basu stop",,,,,,,,,,,,,,,,,,,,,,
,"運賃# fare",,,,,,,,,,,,,,,,,,,,,,
,"高速道路# expressway",,,,,,,,,,,,,,,,,,,,,,
,"シートベルト# seatbelt",,,,,,,,,,,,,,,,,,,,,,
,"車道# road",,,,,,,,,,,,,,,,,,,,,,
,"歩道# sidewalk",,,,,,,,,,,,,,,,,,,,,,
,"速度# speed",,,,,,,,,,,,,,,,,,,,,,
,"停車する# to stop (a vehicle)",,,,,,,,,,,,,,,,,,,,,,
,"免許# license",,,,,,,,,,,,,,,,,,,,,,
,"行き先# destination",,,,,,,,,,,,,,,,,,,,,,
,"トラック# truck",,,,,,,,,,,,,,,,,,,,,,
,"バイク# motorcycle",,,,,,,,,,,,,,,,,,,,,,
,"タクシーを拾う# pick up a taxi",,,,,,,,,,,,,,,,,,,,,,
,"タクシーを捕まえる# I'll get a cab",,,,,,,,,,,,,,,,,,,,,,
,"タクシーが捕まる# I'll get a cab",,,,,,,,,,,,,,,,,,,,,,
,"安全な# safe",,,,,,,,,,,,,,,,,,,,,,
,"危険な# dangerous",,,,,,,,,,,,,,,,,,,,,,
,"宇宙# universe",,,,,,,,,,,,,,,,,,,,,,
,"地球# earth",,,,,,,,,,,,,,,,,,,,,,
,"太陽# sun",,,,,,,,,,,,,,,,,,,,,,
,"波# wave",,,,,,,,,,,,,,,,,,,,,,
,"陸# land",,,,,,,,,,,,,,,,,,,,,,
,"大陸# continent",,,,,,,,,,,,,,,,,,,,,,
,"北極# north pole",,,,,,,,,,,,,,,,,,,,,,
,"南極# south pole",,,,,,,,,,,,,,,,,,,,,,
,"森林# forest",,,,,,,,,,,,,,,,,,,,,,
,"砂漠# desert",,,,,,,,,,,,,,,,,,,,,,
,"谷# valley",,,,,,,,,,,,,,,,,,,,,,
,"熱心# zealous, enthusiastic, ardent, fervent, keen, eager",,,,,,,,,,,,,,,,,,,,,,
,"熱中# being enthusiastic about; being wild about",,,,,,,,,,,,,,,,,,,,,,
,"情熱# passion, enthusiasm, zeal ",,,,,,,,,,,,,,,,,,,,,,
,"熱意# zeal, enthusiasm, ardor, ardour ",,,,,,,,,,,,,,,,,,,,,,
,"意気込み# ardor, enthusiasm ",,,,,,,,,,,,,,,,,,,,,,
,"気負い# eagerness, enthusiasm, fervor, excitement",,,,,,,,,,,,,,,,,,,,,,
,"価格# price, value, cost ",,,,,,,,,,,,,,,,,,,,,,
,"値段# price, cost",,,,,,,,,,,,,,,,,,,,,,
,"代金# price, cost, charge, payment, bill, fee",,,,,,,,,,,,,,,,,,,,,,
,"代価# price, cost, charge, consideration (in a contract) ",,,,,,,,,,,,,,,,,,,,,,
,"値打ち# value, worth, merit",,,,,,,,,,,,,,,,,,,,,,
,"価値# value; worth; merit ",,,,,,,,,,,,,,,,,,,,,,
,"評価# valuation, appraisal, evaluation, assessment",,,,,,,,,,,,,,,,,,,,,,
,"定価# list price, regular price, established price ",,,,,,,,,,,,,,,,,,,,,,
,"高価# highly priced, expensive, valuable, costly ",,,,,,,,,,,,,,,,,,,,,,
,"値引き# price reduction, discount ",,,,,,,,,,,,,,,,,,,,,,
,"値下がり# price decline, fall in price",,,,,,,,,,,,,,,,,,,,,,
,"高騰# sudden price jump, steep price rise ",,,,,,,,,,,,,,,,,,,,,,
,"事態# situation, (present) state of affairs, circumstances ",,,,,,,,,,,,,,,,,,,,,,
,"状況# state of affairs (around you), situation, circumstances ",,,,,,,,,,,,,,,,,,,,,,
,"状態# state, condition, situation, appearance, circumstances ",,,,,,,,,,,,,,,,,,,,,,
,"様子# state, state of affairs, situation, circumstances, aspect, sign, indication",,,,,,,,,,,,,,,,,,,,,,
,"事情# circumstances, conditions, situation, reasons, state of affairs",,,,,,,,,,,,,,,,,,,,,,
,"調子# condition, state of health, tune, tone, key, pitch, time, rhythm, way, manner",,,,,,,,,,,,,,,,,,,,,,
,"場合# case, situation ",,,,,,,,,,,,,,,,,,,,,,
,"具合# condition, state, health, state (of health), way, manner ",,,,,,,,,,,,,,,,,,,,,,
,"指数# index, index number, exponent",,,,,,,,,,,,,,,,,,,,,,
,"索引# index (in a book), index (publishing) ",,,,,,,,,,,,,,,,,,,,,,
,"指標# index, indices, indicator ",,,,,,,,,,,,,,,,,,,,,,
,"目録# catalogue, catalog, inventory, index, list ",,,,,,,,,,,,,,,,,,,,,,
,"人差し指# index finger, forefinger ",,,,,,,,,,,,,,,,,,,,,,
,"尺度# gauge, standard, measure, criterion, index ",,,,,,,,,,,,,,,,,,,,,,
,"表題# title, index, heading, headline, caption ",,,,,,,,,,,,,,,,,,,,,,
,"指針# needle (compass, gauge, etc.), hand (clock), indicator, pointer, index ",,,,,,,,,,,,,,,,,,,,,,
,"基本的な知識# basic knowledge",,,,,,,,,,,,,,,,,,,,,,
,"重要な資料# important materials/data",,,,,,,,,,,,,,,,,,,,,,
,"性格な情報# accurate information",,,,,,,,,,,,,,,,,,,,,,
,"完全なデータ# complete data",,,,,,,,,,,,,,,,,,,,,,
,"さまざまな料理# various dishes",,,,,,,,,,,,,,,,,,,,,,
,"豊かな自然# abundant nature",,,,,,,,,,,,,,,,,,,,,,
,"貧しい家庭# poor family",,,,,,,,,,,,,,,,,,,,,,
,"親しい関係# close relation",,,,,,,,,,,,,,,,,,,,,,
,"詳しい地図# detailed map",,,,,,,,,,,,,,,,,,,,,,
,"曖昧な返事# vague/ambiguous reply",,,,,,,,,,,,,,,,,,,,,,
,"激しい雨# torrential rain",,,,,,,,,,,,,,,,,,,,,,
,"高価な品物# expensive item",,,,,,,,,,,,,,,,,,,,,,
,"無駄な努力# futile effort",,,,,,,,,,,,,,,,,,,,,,
,"国際的な会議# international conference",,,,,,,,,,,,,,,,,,,,,,
,"可能な計画# feasible plan",,,,,,,,,,,,,,,,,,,,,,
,"不可能な計画# an impossible plan",,,,,,,,,,,,,,,,,,,,,,
,"平らな場所# flat place",,,,,,,,,,,,,,,,,,,,,,
,"険しい山道# steep/rugged mountain path",,,,,,,,,,,,,,,,,,,,,,
,"鋭いナイフ# sharp knife",,,,,,,,,,,,,,,,,,,,,,
,"当然の結果# book",,,,,,,,,,,,,,,,,,,,,,
,"当たり前# natural, obvious",,,,,,,,,,,,,,,,,,,,,,
,"意外な方法# surprising method",,,,,,,,,,,,,,,,,,,,,,
,"下らない本# worthless/stupid book",,,,,,,,,,,,,,,,,,,,,,
,"怪しい男# suspicious man",,,,,,,,,,,,,,,,,,,,,,
,"贅沢な生活# extravagant lifestyle",,,,,,,,,,,,,,,,,,,,,,
,"満足な結果# satisfying result",,,,,,,,,,,,,,,,,,,,,,
,"不満な結果# unsatisfactory result",,,,,,,,,,,,,,,,,,,,,,
,"不安な日々# uneasy days",,,,,,,,,,,,,,,,,,,,,,
,"恐ろしい事件# frightening incident",,,,,,,,,,,,,,,,,,,,,,
,"羨ましい# envious",,,,,,,,,,,,,,,,,,,,,,
,"負けて悔しい# It's frustrating to lose",,,,,,,,,,,,,,,,,,,,,,
,"胸が苦しい# pain in chest, feel agonise",,,,,,,,,,,,,,,,,,,,,,
,"不思議出来事# strange occurrence",,,,,,,,,,,,,,,,,,,,,,
,"幸せな家庭# happy family",,,,,,,,,,,,,,,,,,,,,,
,"懐かしい場所# beloved/missed places",,,,,,,,,,,,,,,,,,,,,,
,"興味深い話# interesting story/talk",,,,,,,,,,,,,,,,,,,,,,
,"退屈な話# boring/tedious talk",,,,,,,,,,,,,,,,,,,,,,
,"面倒な仕事# troublesome job",,,,,,,,,,,,,,,,,,,,,,
,"背中が痒い# back is itchy",,,,,,,,,,,,,,,,,,,,,,
,"息が臭い# breath stinks",,,,,,,,,,,,,,,,,,,,,,
,"光が眩しい# light is blinding/dazzling",,,,,,,,,,,,,,,,,,,,,,
,"蒸し暑い夜# humid night",,,,,,,,,,,,,,,,,,,,,,
,"楽な仕事# easy job",,,,,,,,,,,,,,,,,,,,,,
,"指数# index, index number, exponent",,,,,,,,,,,,,,,,,,,,,,
,"索引# index (in a book), index (publishing) ",,,,,,,,,,,,,,,,,,,,,,
,"指標# index, indices, indicator ",,,,,,,,,,,,,,,,,,,,,,
,"目録# catalogue, catalog, inventory, index, list ",,,,,,,,,,,,,,,,,,,,,,
,"人差し指# index finger, forefinger ",,,,,,,,,,,,,,,,,,,,,,
,"尺度# gauge, standard, measure, criterion, index ",,,,,,,,,,,,,,,,,,,,,,
,"表題# title, index, heading, headline, caption ",,,,,,,,,,,,,,,,,,,,,,
,"指針# needle (compass, gauge, etc.), hand (clock), indicator, pointer, index ",,,,,,,,,,,,,,,,,,,,,,
,"険しい# precipitous, rugged, inaccessible, steep",,,,,,,,,,,,,,,,,,,,,,
,"激しい# violent, furious, extreme, fervent",,,,,,,,,,,,,,,,,,,,,,
,"さっさ# promptly, immediately, quickly",,,,,,,,,,,,,,,,,,,,,,
,"ぐずぐず# hesitantly, dawdling, complaining",,,,,,,,,,,,,,,,,,,,,,
,"図太い# bold, shameless, cheeky, brash, impudent",,,,,,,,,,,,,,,,,,,,,,
,"のどが渇いて、真夜中に目が覚めたんだ# I woke up in the middle of the night, thirsty",,,,,,,,,,,,,,,,,,,,,,
,"お茶を入れたけど、話していたら冷めちゃったね# I made you some tea, but it got cold while we were talking",,,,,,,,,,,,,,,,,,,,,,
,"電子レンジで温め直そう。チンして# Let's reheat it in the microwave. Heating it in a microwave",,,,,,,,,,,,,,,,,,,,,,
,"今朝、歯磨き粉を最後まで使い切った# I used up the last of my toothpaste this morning",,,,,,,,,,,,,,,,,,,,,,
