Expression,Reading,Meaning
通る,とおる,"to pass (by), to go through"
過ぎる,すぎる,"to exceed, to go beyond"
レポート; リポート,レポート; リポート,report
葉,は,leaf
必要,ひつよう,necessary
課長,かちょう,section manager
地震,じしん,earthquake
すると,すると,"and, then"
止める,やめる,"to end, to stop"
ガラス,ガラス,"glass, pane"
～学部,～がくぶ,department of a university
厳しい,きびしい,hard; rigorous; strict
エスカレーター,エスカレーター,escalator
人口,じんこう,population
月,つき,moon
絹,きぬ,silk
ちっとも,ちっとも,not at all (neg. verb)
深い,ふかい,"deep, profound"
壊れる,こわれる,"to be broken, to break"
揺れる,ゆれる,"to shake, to sway"
落る,おちる,"to fall, to drop"
できるだけ,できるだけ,"if at all possible, as much as possible"
悲しい,かなしい,"sad, sorrowful"
中学校,ちゅうがっこう,junior high school pupil
ガス,ガス,gas
祈る,いのる,to pray; to wish
盛ん,さかん,"prosperous, active, thriving"
アルバイト,アルバイト,part-time job
起こす,おこす,to wake (someone) up
致す,いたす,extra-modest expression for suru
噛む,かむ,"to bite, to chew"
赤ちゃん,あかちゃん,"baby, infant"
浅い,あさい,"shallow, superficial"
うそ,嘘,lie
小説,しょうせつ,novel
親,おや,a parent
それに,それに,moreover; besides
西洋,せいよう,"the West, Western countries"
思う,おもう,"to think, to feel"
パート (タイム),パート (タイム),part time (esp. female part time employees)
時代,じだい,"age, period, epoch, era"
申し上げる,もうしあげる,"(humble)to say, to tell"
～式,～しき,~ ceremony; ~ style
出席,しゅっせきする,attendance
～家,～か,person who is specialized in ~
迎える,むかえる,to welcome; to meet; to greet
触る,さわる,"to touch, to feel"
建て,～だて,"~ storied, separate housing"
社長,しゃちょう,president of a company
動物園,どうぶつえん,zoo
捕まえる,つかまえる,"to catch, to arrest"
季節,きせつ,season (in reference to weather)
寄る,よる,to stop by
決まる,きまる,to be set; fixed (v.i.)
開く,ひらく,to open; to hold (an event)
逃げる,にげる,"to escape, to run away"
だから,だから,so; therefore
残念,ざんねん,regret; regrettable
畳,たたみ,tatami mat (Japanese straw mat)
丁寧,ていねい,"polite, courteous, careful"
地理,ちり,geography
さっき,さっき,a little while ago
怖い,こわい,"scary, frightening"
包む,つつむ,"to wrap, to cover"
なるべく,なるべく,"if possible, as much as possible"
無理,むり,"unreasonable, impossible"
サンドイッチ,サンドイッチ,sandwich
会議室,かいぎしつ,conference room
品物,しなもの,goods
