Orig,Reading,Verbs,Meaning
なやむ【悩む】,なやむ,悩む,"to be worried, to be troubled"
あゆむ【歩む】,あゆむ,歩む,"to walk, to go on foot"
うらむ【恨む】,うらむ,恨む,"to curse, to feel bitter"
からむ【絡む】,からむ,絡む,"to entangle, to entwine"
にらむ【睨む】,にらむ,睨む,"to glare at, to scowl at, to keep an eye on"
たるむ【弛む】,たるむ,弛む,"to slacken, to loosen, to relax"
ゆるむ【緩む】,ゆるむ,緩む,"to become loose, to slacken "
はいる【入る】,はいる,入る,"to enter, to contain"
ほうる【放る】,ほうる,放る,to let go
かえる【帰る】,かえる,帰る,to go back
かえる【反る】,かえる,反る,"to warp, to be warped, to curve"
かえる【返る】,かえる,返る,"to return, to come back, to go back"
こおる【凍る】,こおる,凍る,"to freeze, to be frozen over, to congeal"
とおる【通る】,とおる,通る,to go through
なおる【直る】,なおる,直る,"to be fixed, to be repaired"
なおる【治る】,なおる,治る,"to be cured, to heal"
いかる【怒る】,いかる,怒る,"to get angry, to be angry"
かかる【罹る】,かかる,罹る,to suffer from
さかる【盛る】,さかる,盛る,"to prosper, to flourish, to copulate (animals)"
しかる【叱る】,しかる,叱る,to scold
はかる【計る】,はかる,計る,"to measure, to weigh, to survey"
はかる【量る】,はかる,量る,"to measure, to weigh, to survey"
はかる【測る】,はかる,測る,"to measure, to weigh, to survey"
はかる【諮る】,はかる,諮る,"to consult with, to confer"
はかる【図る】,はかる,図る,"to plot, to attempt, to plan, to take in, to deceive, to devise, to design"
ひかる【光る】,ひかる,光る,"to shine, to glitter"
あがる【上る】,あがる,上る,to rise
とがる【尖る】,とがる,尖る,"to taper to a point, to become sharp, to be sour, to look displeased (vi)"
かぎる【限る】,かぎる,限る,"to restrict, to limit, to confine"
ちぎる【契る】,ちぎる,契る,"to pledge, to promise, to swear "
にぎる【握る】,にぎる,握る,"to grasp, to hold a (thing) in one’s hand, grip"
おくる【送る】,おくる,送る,to send
おくる【贈る】,おくる,贈る,"to send, to give to, to award to, to confer on"
つくる【作る】,つくる,作る,to make
つくる【造る】,つくる,造る,"to make, to create, to manufacture, to draw up, to write, to compose, to build, to coin, to cultivate, to org "
くぐる【潜る】,くぐる,潜る,"(1) to drive, to pass through (2) to evade, to hide (3) to dive (into or under water), to go undergro"
さぐる【探る】,さぐる,探る,"to search, to look for, to sound out "
なぐる【殴る】,なぐる,殴る,"to strike, to hit"
めぐる【巡る】,めぐる,巡る,to go around
もぐる【潜る】,もぐる,潜る,"(1) to drive, to pass through,(2) to evade, to hide,(3) to dive (into or under water), to go underground"
しげる【茂る】,しげる,茂る,"to grow thick, to luxuriate, to be luxurious"
